[INFO] [1783994328.264065719] [apriltag.apriltag]: camera_diag: img_age=0.066240s, ci_age=0.066240s, img_ci_skew=0.000000s, detect_ms=4.871349, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994329.264971207] [apriltag.apriltag]: camera_diag: img_age=0.066133s, ci_age=0.066133s, img_ci_skew=0.000000s, detect_ms=4.991161, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994330.336145034] [apriltag.apriltag]: camera_diag: img_age=0.066828s, ci_age=0.066828s, img_ci_skew=0.000000s, detect_ms=7.685691, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994357.558250830] [apriltag.apriltag]: camera_diag: img_age=0.066310s, ci_age=0.066310s, img_ci_skew=0.000000s, detect_ms=4.801808, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994359.495460106] [apriltag.apriltag]: camera_diag: img_age=0.066197s, ci_age=0.066197s, img_ci_skew=0.000000s, detect_ms=6.550074, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994360.562591746] [apriltag.apriltag]: camera_diag: img_age=0.066614s, ci_age=0.066614s, img_ci_skew=0.000000s, detect_ms=5.674342, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994366.701139923] [apriltag.apriltag]: camera_diag: img_age=0.066583s, ci_age=0.066583s, img_ci_skew=0.000000s, detect_ms=4.844049, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994367.703030793] [apriltag.apriltag]: camera_diag: img_age=0.066332s, ci_age=0.066332s, img_ci_skew=0.000000s, detect_ms=5.988018, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994368.770903887] [apriltag.apriltag]: camera_diag: img_age=0.066270s, ci_age=0.066270s, img_ci_skew=0.000000s, detect_ms=6.199304, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994369.772619570] [apriltag.apriltag]: camera_diag: img_age=0.067194s, ci_age=0.067194s, img_ci_skew=0.000000s, detect_ms=6.181720, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
